Periodo,Índice,Variación Mensual,Variación Anual
2008
Enero,98.001002854674,NA,NA
Febrero,98.516878780484,0.52639861918,NA
Marzo,98.489035083596,-0.028262869502,NA
Abril,99.410026566176,0.935120830251,NA
Mayo,99.241192746124,-0.16983580619,NA
Junio,98.902171497384,-0.341613436275,NA
Julio,97.47554434484,-1.442462921637,NA
Agosto,98.287282085018,0.832760407376,NA
Septiembre,97.961944365746,-0.331006934336,NA
Octubre,98.45818309865,0.506562763854,NA
Noviembre,98.107858573268,-0.355810471366,NA
Diciembre,99.562922753805,1.483127041704,NA
2009
Enero,96.924203248568,-2.650303378258,-1.098763864389
Febrero,97.497911505732,0.59191433918,-1.03430730588
Marzo,97.139172625303,-0.367945194814,-1.370571309941
Abril,96.964050755349,-0.180279350978,-2.460492060325
Mayo,97.302203474712,0.3487402978,-1.953814961064
Junio,96.587782915335,-0.734228551734,-2.340078632258
Julio,96.693076512641,0.109013370147,-0.802732457108
Agosto,96.608253106943,-0.087724383955,-1.708287117576
Septiembre,97.114211305933,0.52372150693,-0.865369777316
Octubre,97.236710269366,0.126139070468,-1.24060061931
Noviembre,97.217916029603,-0.019328337736,-0.907106277323
Diciembre,98.154687115861,0.96357865352,-1.414417736034
2010
Enero,97.634235627111,-0.530236002011,0.732564575973
Febrero,97.69682606194,0.064107056738,0.204019299631
Marzo,98.241220791128,0.557228674801,1.134504377628
Abril,96.653284263708,-1.616364815739,-0.320496605928
Mayo,97.520181974145,0.896914902624,0.224022161522
Junio,97.99199753038,0.483813244279,1.453822183988
Julio,98.142065797001,0.153143389667,1.49854502165
Agosto,97.829819895921,-0.318157049727,1.264453863611
Septiembre,97.536301581021,-0.300029495313,0.434632861053
Octubre,97.200258301811,-0.344531496236,-0.037487865904
Noviembre,96.992068289704,-0.214186686069,-0.23231082204
Diciembre,97.094703050339,0.105817684316,-1.079911817426
2011
Enero,97.762717049449,0.688002515198,0.131594641483
Febrero,97.497987192648,-0.270788154003,-0.20352643715
Marzo,97.849769629114,0.360809947564,-0.398459179214
Abril,97.547161841522,-0.309257537078,0.924828974643
Mayo,98.404382018291,0.878775107943,0.906684161418
Junio,98.391884792089,-0.012699867572,0.408081549296
Julio,98.162774767473,-0.232854594767,0.021101013417
Agosto,98.975999071149,0.828444698718,1.171605116362
Septiembre,99.00476759813,0.029066164778,1.505558436506
Octubre,98.983079957822,-0.021905652459,1.834173784267
Noviembre,99.063728704497,0.081477305727,2.13590703995
Diciembre,97.751226796794,-1.324906628155,0.676168447742
2012
Enero,98.805806034459,1.078839900247,1.066959896872
Febrero,98.863587940921,0.05848027437,1.400645067242
Marzo,98.776661612907,-0.087925524275,0.947260261631
Abril,99.654402209929,0.888611320417,2.160227246622
Mayo,98.081242754372,-1.578615114507,-0.328378937291
Junio,98.699175901252,0.630021734562,0.312313469564
Julio,98.510915919849,-0.190741188753,0.354657000274
Agosto,98.610292199236,0.100878444241,-0.369490457631
Septiembre,98.787316760333,0.179519355586,-0.219636733737
Octubre,98.495794715174,-0.295100681666,-0.492291453101
Noviembre,98.768494694126,0.276864590758,-0.298024326595
Diciembre,98.879043354805,0.111927048217,1.153762049817
2013
Enero,101.363695467125,2.512819732088,2.588804783167
Febrero,99.51836411755,-1.820505202648,0.662302663969
Marzo,98.788370768936,-0.733526274358,0.011854172674
Abril,100.168077361759,1.396628552616,0.515456558304
Mayo,99.388396537472,-0.77837255623,1.332725551178
Junio,99.883566182708,0.498216756167,1.200000172889
Julio,100.032390761178,0.148998062602,1.544473348078
Agosto,99.996259849777,-0.036119212114,1.405499993592
Septiembre,99.861025207987,-0.135239699957,1.086888968003
Octubre,100.274457310317,0.414007468348,1.805825924129
Noviembre,100.318658554628,0.044080262807,1.569492240722
Diciembre,100.540760422809,0.221396369709,1.680555365044
2014
Enero,100.196856770687,-0.342053959683,-1.15114064366
Febrero,99.927832958504,-0.268495261083,0.411450534366
Marzo,100.14465869107,0.216982322289,1.372922654334
Abril,100.37885395726,0.233856971756,0.210422922205
Mayo,100.000286619296,-0.377138533705,0.615655451885
Junio,100.127807150013,0.12752016522,0.244525677886
Julio,100.794120764437,0.665463104995,0.761483353005
Agosto,99.99144312927,-0.796353625667,-0.004816900666
Septiembre,99.959163304111,-0.032282587538,0.098274673147
Octubre,100.2457134208,0.286667182094,-0.028665215737
Noviembre,100.710487607681,0.463634973528,0.390584422378
Diciembre,100.575141922838,-0.134390854476,0.034196578467
2015
Enero,101.064759574841,0.486817758983,0.866197635461
Febrero,101.47331453325,0.404250660792,1.546597708556
Marzo,101.139630844829,-0.328838857739,0.99353491915
Abril,101.088361486225,-0.050691660802,0.706829676763
Mayo,103.089212434928,1.979308912803,3.0889169622
Junio,101.497910816716,-1.54361603957,1.368354811416
Julio,102.072512851378,0.566122031516,1.268320093717
Agosto,101.864573759265,-0.203717030476,1.873290925078
Septiembre,102.268476178931,0.396509212929,2.310256307162
Octubre,102.567674332965,0.29256146685,2.316269527075
Noviembre,102.73595072534,0.164063769086,2.011173975792
Diciembre,102.20366984713,-0.518105759914,1.619215139205
2016
Enero,102.92404100728,0.70483883918,1.839693123756
Febrero,103.187009695647,0.255497827129,1.688813625808
Marzo,103.938309650227,0.728095481007,2.767143583599
Abril,104.098571731846,0.154189617051,2.977801006332
Mayo,104.419557495643,0.308347903777,1.290479410302
Junio,104.7015802575,0.270086149205,3.15638954044
Julio,104.98007796233,0.265991882974,2.84852898173
Agosto,104.996812836551,0.015940999993,3.074905201772
Septiembre,105.424164230291,0.407013681839,3.085689910778
